E      ; sig
1000.0 ; 5.268178
1000.931 ; 5.254738
1001.862 ; 5.240833
1002.793 ; 5.226386
1003.723 ; 5.21132
1004.654 ; 5.195408
1005.12 ; 5.187055
1005.585 ; 5.178426
1006.051 ; 5.169451
1006.516 ; 5.160121
1006.749 ; 5.155288
1006.981 ; 5.150362
1007.214 ; 5.145293
1007.33 ; 5.142721
1007.446 ; 5.140117
1007.524 ; 5.138347
1007.602 ; 5.136562
1007.68 ; 5.134761
1007.757 ; 5.132969
1007.84 ; 5.13102
1007.922 ; 5.129078
1008.005 ; 5.127096
1008.087 ; 5.125122
1008.17 ; 5.123109
1008.252 ; 5.121106
1008.335 ; 5.119065
1008.417 ; 5.117036
1008.5 ; 5.11497
1008.582 ; 5.112919
1008.665 ; 5.110832
1008.747 ; 5.10876
1008.83 ; 5.106652
1008.912 ; 5.104557
1008.994 ; 5.102449
1009.076 ; 5.100323
1009.309 ; 5.094156
1009.541 ; 5.087721
1009.648 ; 5.084609
1009.754 ; 5.081416
1009.881 ; 5.077428
1009.991 ; 5.073817
1010.0 ; 5.073515
1010.027 ; 5.072602
1010.053 ; 5.071715
1010.106 ; 5.069879
1010.248 ; 5.064786
1010.362 ; 5.060517
1010.475 ; 5.056135
1010.729 ; 5.045791
1010.856 ; 5.040387
1010.983 ; 5.03484
1011.057 ; 5.031542
1011.13 ; 5.028242
1011.204 ; 5.024845
1011.277 ; 5.021444
1011.351 ; 5.017941
1011.424 ; 5.014427
1011.498 ; 5.010804
1011.571 ; 5.007164
1011.625 ; 5.004428
1011.678 ; 5.001703
1011.732 ; 4.998886
1011.785 ; 4.996079
1011.839 ; 4.993174
1011.892 ; 4.990276
1011.946 ; 4.987275
1011.999 ; 4.984278
1012.073 ; 4.980006
1012.147 ; 4.975627
1012.221 ; 4.971134
1012.294 ; 4.966583
1012.441 ; 4.957036
1012.588 ; 4.946928
1012.736 ; 4.936117
1012.883 ; 4.924673
1013.03 ; 4.912435
1013.177 ; 4.899298
1013.325 ; 4.885037
1013.472 ; 4.869694
1013.619 ; 4.85299
1013.766 ; 4.834702
1013.913 ; 4.814555
1014.06 ; 4.792218
1014.134 ; 4.780025
1014.207 ; 4.767304
1014.281 ; 4.753654
1014.354 ; 4.739391
1014.435 ; 4.722578
1014.515 ; 4.704903
1014.595 ; 4.686131
1014.675 ; 4.666261
1014.716 ; 4.655664
1014.756 ; 4.64507
1014.796 ; 4.634239
1014.836 ; 4.623192
1014.876 ; 4.611956
1014.916 ; 4.600566
1014.956 ; 4.589064
1014.996 ; 4.577499
1015.037 ; 4.565643
1015.077 ; 4.554146
1015.117 ; 4.5428
1015.157 ; 4.531696
1015.197 ; 4.520942
1015.237 ; 4.510654
1015.277 ; 4.500965
1015.317 ; 4.49202
1015.358 ; 4.483792
1015.398 ; 4.476857
1015.478 ; 4.466995
1015.558 ; 4.463865
1015.638 ; 4.469281
1015.719 ; 4.485441
1015.799 ; 4.513924
1015.879 ; 4.556753
1015.959 ; 4.615633
1016.12 ; 4.787967
1016.28 ; 5.033769
1016.454 ; 5.378262
1016.628 ; 5.779085
1016.722 ; 6.005449
1016.815 ; 6.226822
1016.842 ; 6.289516
1016.927 ; 6.479203
1017.0 ; 6.629637
1017.039 ; 6.704097
1017.153 ; 6.893524
1017.233 ; 6.998009
1017.312 ; 7.076018
1017.45 ; 7.15041
1017.588 ; 7.149037
1017.842 ; 6.985398
1017.969 ; 6.850831
1018.096 ; 6.699019
1018.16 ; 6.619845
1018.224 ; 6.54067
1018.288 ; 6.462621
1018.351 ; 6.387807
1018.415 ; 6.314599
1018.478 ; 6.245841
1018.542 ; 6.179756
1018.605 ; 6.118663
1018.669 ; 6.060748
1018.732 ; 6.007839
1018.796 ; 5.958183
1018.859 ; 5.913193
1018.923 ; 5.871244
1018.986 ; 5.83342
1019.05 ; 5.798266
1019.113 ; 5.766622
1019.177 ; 5.737215
1019.241 ; 5.710311
1019.305 ; 5.685657
1019.368 ; 5.663358
1019.432 ; 5.642493
1019.495 ; 5.623524
1019.559 ; 5.605672
1019.622 ; 5.589344
1019.686 ; 5.573881
1019.749 ; 5.559647
1019.876 ; 5.533522
1020.003 ; 5.51027
1020.13 ; 5.489359
1020.258 ; 5.470242
1020.385 ; 5.452903
1020.512 ; 5.436942
1020.639 ; 5.422166
1020.893 ; 5.395575
1021.147 ; 5.372181
1021.444 ; 5.348001
1021.741 ; 5.326523
1022.038 ; 5.307202
1022.334 ; 5.289686
1022.631 ; 5.273548
1022.928 ; 5.258608
1023.225 ; 5.244673
1023.521 ; 5.23163
1023.839 ; 5.218415
1024.157 ; 5.205902
1024.475 ; 5.19399
1024.634 ; 5.188234
1024.793 ; 5.182601
1024.952 ; 5.177086
1025.111 ; 5.171687
1025.191 ; 5.169015
1025.27 ; 5.166408
1025.35 ; 5.163802
1025.429 ; 5.161264
1025.509 ; 5.158736
1025.588 ; 5.156286
1025.668 ; 5.15386
1025.747 ; 5.151529
1025.827 ; 5.149247
1025.906 ; 5.147086
1025.946 ; 5.146033
1025.985 ; 5.145037
1026.025 ; 5.144049
1026.064 ; 5.143121
1026.125 ; 5.14175
1026.186 ; 5.140486
1026.247 ; 5.139345
1026.308 ; 5.13834
1026.369 ; 5.137488
1026.43 ; 5.136803
1026.491 ; 5.136302
1026.552 ; 5.135997
1026.613 ; 5.135902
1026.674 ; 5.136026
1026.735 ; 5.136378
1026.796 ; 5.136959
1026.918 ; 5.138803
1027.039 ; 5.141455
1027.505 ; 5.154918
1027.622 ; 5.157371
1027.738 ; 5.158647
1027.865 ; 5.15833
1027.982 ; 5.156201
1028.0 ; 5.155708
1028.056 ; 5.15389
1028.112 ; 5.151646
1028.228 ; 5.145697
1028.286 ; 5.142114
1028.411 ; 5.133219
1028.536 ; 5.12309
1028.768 ; 5.102714
1028.884 ; 5.092531
1028.999 ; 5.082847
1029.134 ; 5.072274
1029.202 ; 5.067334
1029.269 ; 5.062734
1029.337 ; 5.058339
1029.404 ; 5.054273
1029.472 ; 5.050404
1029.539 ; 5.04683
1029.607 ; 5.043427
1029.674 ; 5.040275
1029.742 ; 5.037259
1029.809 ; 5.034446
1029.877 ; 5.031731
1029.944 ; 5.029175
1030.012 ; 5.026684
1030.079 ; 5.024315
1030.128 ; 5.022627
1030.176 ; 5.021005
1030.224 ; 5.019409
1030.272 ; 5.017837
1030.321 ; 5.016252
1030.369 ; 5.014716
1030.465 ; 5.011684
1030.562 ; 5.008659
1030.658 ; 5.00569
1030.754 ; 5.002736
1030.85 ; 4.999791
1031.024 ; 4.994456
1031.197 ; 4.989142
1031.371 ; 4.983774
1031.544 ; 4.978405
1031.891 ; 4.967522
1032.238 ; 4.956459
1032.585 ; 4.945187
1032.932 ; 4.933683
1033.625 ; 4.909909
1034.474 ; 4.879053
1035.322 ; 4.845904
1036.17 ; 4.8099
1037.018 ; 4.770408
1037.867 ; 4.726595
1038.291 ; 4.702819
1038.715 ; 4.677598
1039.139 ; 4.650777
1039.563 ; 4.62219
1039.987 ; 4.59165
1040.411 ; 4.558941
1040.836 ; 4.52372
1041.26 ; 4.485888
1041.684 ; 4.445121
1042.108 ; 4.401236
1042.532 ; 4.35417
1042.744 ; 4.32949
1042.956 ; 4.304128
1043.168 ; 4.278205
1043.38 ; 4.251921
1043.592 ; 4.225597
1043.804 ; 4.199737
1043.978 ; 4.179412
1044.151 ; 4.160719
1044.325 ; 4.144471
1044.498 ; 4.13246
1044.672 ; 4.127177
1044.845 ; 4.133089
1045.018 ; 4.157776
1045.105 ; 4.181194
1045.191 ; 4.214691
1045.273 ; 4.259191
1045.355 ; 4.31968
1045.437 ; 4.400888
1045.519 ; 4.508853
1045.601 ; 4.651194
1045.683 ; 4.837415
1045.765 ; 5.079206
1045.847 ; 5.390729
1045.929 ; 5.788855
1046.011 ; 6.293306
1046.093 ; 6.926664
1046.175 ; 7.714184
1046.257 ; 8.683362
1046.339 ; 9.863212
1046.421 ; 11.28321
1046.502 ; 12.94954
1046.594 ; 15.19155
1046.686 ; 17.833
1046.778 ; 20.89161
1046.869 ; 24.32945
1046.961 ; 28.20488
1047.052 ; 32.39464
1047.235 ; 41.61565
1047.428 ; 51.71443
1047.62 ; 60.89055
1047.728 ; 65.1522
1047.836 ; 68.48404
1047.918 ; 70.28403
1048.0 ; 71.39387
1048.024 ; 71.58327
1048.09 ; 71.78343
1048.156 ; 71.51482
1048.287 ; 69.64545
1048.379 ; 67.36053
1048.47 ; 64.42652
1048.652 ; 57.05833
1048.961 ; 42.65592
1049.115 ; 35.82453
1049.192 ; 32.68076
1049.269 ; 29.75956
1049.337 ; 27.37919
1049.404 ; 25.22299
1049.472 ; 23.22745
1049.539 ; 21.44796
1049.607 ; 19.82461
1049.674 ; 18.39586
1049.742 ; 17.10766
1049.809 ; 15.98552
1049.877 ; 14.98267
1049.944 ; 14.11541
1050.012 ; 13.34468
1050.079 ; 12.68077
1050.147 ; 12.092
1050.214 ; 11.58501
1050.281 ; 11.14095
1050.348 ; 10.75125
1050.416 ; 10.4035
1050.483 ; 10.10121
1050.551 ; 9.829407
1050.618 ; 9.591078
1050.686 ; 9.374746
1050.753 ; 9.183146
1050.888 ; 8.850194
1051.023 ; 8.572907
1051.158 ; 8.337676
1051.293 ; 8.134896
1051.428 ; 7.957713
1051.563 ; 7.801154
1051.698 ; 7.661529
1051.833 ; 7.536037
1051.968 ; 7.422503
1052.238 ; 7.224746
1052.507 ; 7.058585
1052.739 ; 6.934653
1052.97 ; 6.825676
1053.201 ; 6.72865
1053.432 ; 6.641666
1053.664 ; 6.562881
1053.895 ; 6.49174
1054.357 ; 6.367485
1054.82 ; 6.262215
1055.282 ; 6.172075
1055.745 ; 6.093486
1056.207 ; 6.024362
1056.824 ; 5.943453
1057.441 ; 5.87285
1058.058 ; 5.81032
1058.674 ; 5.754197
1059.291 ; 5.70289
1059.908 ; 5.655323
1060.525 ; 5.610475
1061.141 ; 5.567456
1061.623 ; 5.534396
1062.105 ; 5.501307
1062.587 ; 5.467573
1063.069 ; 5.432399
1063.31 ; 5.413949
1063.551 ; 5.3947
1063.792 ; 5.374436
1064.033 ; 5.352882
1064.274 ; 5.329681
1064.515 ; 5.304352
1064.636 ; 5.290633
1064.756 ; 5.276232
1064.876 ; 5.260916
1064.996 ; 5.244543
1065.088 ; 5.231171
1065.179 ; 5.217158
1065.271 ; 5.202111
1065.362 ; 5.186271
1065.454 ; 5.169207
1065.545 ; 5.151225
1065.591 ; 5.141702
1065.637 ; 5.131885
1065.683 ; 5.121777
1065.728 ; 5.111611
1065.774 ; 5.100947
1065.82 ; 5.090023
1065.866 ; 5.078864
1065.911 ; 5.067747
1065.957 ; 5.05622
1066.003 ; 5.044576
1066.049 ; 5.032875
1066.094 ; 5.021444
1066.14 ; 5.00986
1066.186 ; 4.998476
1066.232 ; 4.987407
1066.277 ; 4.977009
1066.323 ; 4.966964
1066.369 ; 4.957671
1066.415 ; 4.949307
1066.46 ; 4.942211
1066.506 ; 4.936274
1066.552 ; 4.931886
1066.644 ; 4.928706
1066.736 ; 4.934632
1066.827 ; 4.95142
1066.919 ; 4.981348
1067.01 ; 5.02542
1067.193 ; 5.162151
1067.386 ; 5.377127
1067.578 ; 5.651139
1067.684 ; 5.818448
1067.79 ; 5.989255
1067.857 ; 6.095825
1067.948 ; 6.235004
1068.0 ; 6.310127
1068.038 ; 6.362426
1068.159 ; 6.511035
1068.31 ; 6.650084
1068.451 ; 6.726961
1068.591 ; 6.75202
1068.848 ; 6.683371
1068.977 ; 6.608051
1069.105 ; 6.517671
1069.17 ; 6.468422
1069.234 ; 6.418953
1069.298 ; 6.369313
1069.362 ; 6.320188
1069.427 ; 6.271416
1069.491 ; 6.224969
1069.555 ; 6.180445
1069.619 ; 6.138106
1069.684 ; 6.097518
1069.748 ; 6.060023
1069.812 ; 6.025004
1069.876 ; 5.992433
1069.941 ; 5.961784
1070.005 ; 5.933895
1070.069 ; 5.908148
1070.133 ; 5.884399
1070.209 ; 5.858587
1070.285 ; 5.835126
1070.361 ; 5.813769
1070.437 ; 5.794279
1070.513 ; 5.77644
1070.589 ; 5.760054
1070.665 ; 5.744945
1070.741 ; 5.730959
1070.817 ; 5.717959
1070.893 ; 5.70583
1070.969 ; 5.694469
1071.045 ; 5.683791
1071.197 ; 5.664196
1071.348 ; 5.646677
1071.5 ; 5.63065
1071.652 ; 5.615969
1071.804 ; 5.602426
1071.955 ; 5.58994
1072.259 ; 5.567228
1072.562 ; 5.547198
1072.936 ; 5.525271
1073.31 ; 5.505777
1073.684 ; 5.48822
1074.058 ; 5.472237
1074.432 ; 5.457554
1074.806 ; 5.443954
1075.553 ; 5.419362
1076.301 ; 5.39739
1077.048 ; 5.377494
1077.796 ; 5.359213
1078.543 ; 5.342311
1079.384 ; 5.32453
1080.225 ; 5.307742
1081.907 ; 5.276652
1083.589 ; 5.248052
1085.271 ; 5.221194
1086.953 ; 5.195542
1088.635 ; 5.17069
1091.999 ; 5.122036
1093.868 ; 5.094886
1095.737 ; 5.067334
1097.606 ; 5.038719
1099.475 ; 5.008562
1101.344 ; 4.976149
1102.279 ; 4.958786
1103.213 ; 4.940479
1104.148 ; 4.921041
1105.082 ; 4.900106
1106.017 ; 4.87721
1106.951 ; 4.851903
1107.582 ; 4.833053
1108.213 ; 4.812426
1108.844 ; 4.789602
1109.474 ; 4.763988
1109.79 ; 4.749791
1110.105 ; 4.734543
1110.421 ; 4.717961
1110.736 ; 4.69992
1111.052 ; 4.680012
1111.367 ; 4.657978
1111.682 ; 4.633239
1111.997 ; 4.60508
1112.243 ; 4.580072
1112.488 ; 4.551822
